行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
,,ラム,オス,1988/4/28-2012/3/30,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,のぞみ,メス,2008/3/1,,,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nozomi.png
,,ミリー,メス,2000/8/23-2017/1/30,ラム,カルゴア,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ピックス,オス,2003/6/28-2019/1/21,ジェックス,ピコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
,,ウメ,メス,2010/8/5-2022/11/21,パイン,モミジ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ume.png
,,だいち,オス,2013/8/18,アーク,ゆめ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/daichi.png
,,ミライ,メス,2008/10/25-2020/6/10,ライタ,ミリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ウミ,メス,2014/6/13,ウルル,ウメ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/umi.png
,,ホリー,メス,2013/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/holly.png
,,モモジ,オス,1997/2/7-2007/2/17,,,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ハニー,メス,2014/8/3-2024/8/15,ピース♂,ライチ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ウルル,オス,2007/5/26-2017/12/18,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ユメ,メス,2015/1/2-2025/3/23,フランク,ブランディ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/yume.png
,,ジンベラン,メス,2013/2/23-2023/7/8,,,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taichi.png
,,コロン,オス,2014/11/22,フランク,ココロ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/koron.png
,,チャーリー,オス,2014/11/27,アーチャー(東山),ティリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/charlie.png
,,モミジ,メス,2006/5/29-2015/8/21,モモジ,ミリー,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,リオ,メス,2015/12/10,ブンダ,ココロ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/rio.png
,,ピーター,オス,2016/3/28,ピース♂,ティリー,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/peter.png
,,クイン,メス,2015/3/23-2023/5/31,ボウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,オウカ,メス,2016/9/25,ウルル,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouka.png
,,りん,メス,2017/8/23,マックス,ティリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/rin.png
,,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
,,こまち,メス,2017/4/27,マックス,ホリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/komati.png
,,ぼたん,メス,2017/5/12-2024/12/13,アーティー,ウメ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/botan.png
,,ななみ,メス,2018/7/7,タイチ,ホリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/nanami.png
,,きらら,メス,2018/9/6,タイチ,ティリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/kirara.png
,,コタロウ (2015),オス,2015/9/25-2022/7/31,,,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ヒマワリ,メス,2019/6/22,バンブラ,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/himawari.png
,,アーチャー,オス,2019/4/26,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/archer.png
,,ハナ,メス,2019/5/20,ピーター,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/hana.png
,,エマ,メス,2018/12/6,ピーター,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ema.png
,,ふく,メス,2019/6/12,コタロウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/fuku.png
,,コハル,メス,2019/4/2,コロン,クイン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/koharu.png
,,つくし,メス,2020/9/3,イシン,りん,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/tukusi.png
,,インディコ,メス,2019/12/22,イシン,ティリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/indeko.png
,,キボウ,メス,2019/10/17,バンブラ,ジェイン,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kibou.png
,,いぶき,オス,2020/8/27,イシン,ホリー,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ibuki.png
,,イツキ,オス,2020/4/3,バンブラ,イト,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/itsuki.png
,,ワトル,メス,2020/5/14,タイチ,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/wattle.png
,,ソラ,オス,2020/6/14,バンブラ,ユメ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/sora.png
,,たんぽぽ,メス,2020/4/26,チャーリー,ぼたん,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/tanpopo.png
,,シャイン,オス,2017/8/31-2022/1/6,コロン,クイン,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/shine.png
,,アーティー,オス,2012/8/11-2017/7/27,,,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ヒナタ,メス,2021/3/27,ブンダ,ヒマワリ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/hinata.png
,,カナエ,メス,2021/6/13,バンブラ,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kanae.png
,,ピース,メス,2021/6/29,ブンダ,ジェイン,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/peace.png
,,ライト,オス,2021/5/14,バンブラ,イト,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/raito.png
,,シャイニー,メス,2021/5/13,シャイン,マイ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/shiny.png
,,ミラ,メス,2021/4/30,コタロウ,ジンベラン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/mira.png
,,あずま,メス,2021/5/18,コロン,こまち,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/azuma.png
,,ニーナ,メス,2016/9/27-2020/5/4,コタロウ,ドリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ミナト,オス,2014/6/12-2017/12/20,,,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,マイ,メス,2019/5/15-2022/6/21,ピーター,ウメ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,タイヨウ,オス,2022/8/11,タイチ,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taiyou.png
,,ししお,オス,2022/4/4,タイチ,ホリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sisio.png
,,ノゾム,オス,2022/2/26,ブンダ,キボウ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nozomu.png
,,おもち,メス,2022/3/21,イシン,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/omochi.png
,,スカイ,オス,2022/4/20,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/sky.png
,,だいふく,オス,2022/3/14,タイチ,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/daifuku.png
,,ひなぎく,メス,2021/12/15-2025/7/2,チャーリー,ぼたん,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/hinagiku.png
,,ハリー,オス,2022/4/22,チャーリー,コハル,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/harry.png
,,きんとき,オス,2022/6/25,コロン,きらら,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/kintoki.png
,,パピー,メス,2011/6/23-2013/9/3,ピックス,ミライ,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ニシチ,オス,2019/2/7-2021/3/31,コタロウ,ニーナ,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
,,ツムギ,メス,2023/5/13,アーチャー,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/tumugi.png
,,アラタ,オス,2023/6/14,アーチャー,ヒナタ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/arata.png
,,ナギ,メス,2023/7/31,ピーター,ウミ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nagi.png
,,アサヒ,オス,2022/12/9,アーチャー,ヒマワリ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/asahi.png
,,スミレ,メス,2024/9/11,ライト,つくし,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sumire.png
,,カスミ,メス,2024/6/1,アーチャー,ヒマワリ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kasumi.png
,,スター,オス,2023/11/18,アーチャー,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/star.png
,,チャーボウ,オス,2023/10/21,アーチャー,キボウ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/charbou.png
,,オウキ,オス,2024/6/12,いぶき,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouki.png
,,もなか,オス,2023/10/20,イシン,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/monaka.png
,,さち,メス,2024/5/9,ソラ,ふく,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/sachi.png
,,ポポロ,オス,2024/4/22,コロン,たんぽぽ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/poporo.png
,,エイト,オス,2024/11/24,アーチャー,カナエ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/eight.png
