行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,1,ゆめ,メス,,,,,https://dj-kata.github.io/koala_familytree/imgs/yume_south.png
1,3,アーク,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/ark.png
1,4,のぞみ,メス,2008/3/1,,,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nozomi.png
2,2,だいち,オス,2013/8/18,アーク,ゆめ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/daichi.png
4,1,キボウ,メス,2019/10/17,バンブラ,ジェイン,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kibou.png
4,3,ブンダ,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/bunda.png
5,2,ノゾム,オス,2022/2/26,ブンダ,キボウ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nozomu.png
3,5,ウメ,メス,2010/8/5-2022/11/21,パイン,モミジ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ume.png
3,7,ウルル,オス,2007/5/26-2017/12/18,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
4,6,ウミ,メス,2014/6/13,ウルル,ウメ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/umi.png
3,9,ピース♂,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
3,11,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
4,10,ピーター,オス,2016/3/28,ピース♂,ティリー,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/peter.png
5,7,ナギ,メス,2023/7/31,ピーター,ウミ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nagi.png
5,8,エマ,メス,2018/12/6,ピーター,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ema.png
