行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,1,ユメ,メス,2015/1/2-2025/3/23,フランク,ブランディ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/yume.png
1,3,ブンダ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/bunda.png
1,4,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
1,6,マックス,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/max.png
3,2,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
3,5,りん,メス,2017/8/23,マックス,ティリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/rin.png
3,9,タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taichi.png
3,11,ホリー,メス,2013/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/holly.png
5,10,ななみ,メス,2018/7/7-2025/12/11,タイチ,ホリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/nanami.png
6,7,だいふく,オス,2022/3/14,タイチ,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/daifuku.png
6,2,スカイ,オス,2022/4/20,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/sky.png
6,4,もなか,オス,2023/10/20,イシン,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/monaka.png
6,10,ワトル,メス,2020/5/14,タイチ,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/wattle.png
6,6,おもち,メス,2022/3/21,イシン,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/omochi.png
