行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,1,タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taichi.png
1,4,ホリー,メス,2013/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/holly.png
1,7,マックス,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/max.png
1,8,ユメ,メス,2015/1/2-2025/3/23,フランク,ブランディ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/yume.png
1,10,ブンダ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/bunda.png
3,2,ななみ,メス,2018/7/7-2025/12/11,タイチ,ホリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/nanami.png
3,3,ししお,オス,2022/4/4,タイチ,ホリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sisio.png
3,9,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
5,1,ワトル,メス,2020/5/14,タイチ,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/wattle.png
5,4,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
6,2,おもち,メス,2022/3/21,イシン,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/omochi.png
6,5,インディコ,メス,2019/12/22,イシン,ティリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/indeko.png
7,7,いぶき,オス,2020/8/27,イシン,ホリー,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ibuki.png
7,10,オウカ,メス,2016/9/25,ウルル,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouka.png
8,3,インディコ仔,メス,2025/5/15,ししお,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
9,8,オウキ,オス,2024/6/12,いぶき,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouki.png
10,4,コロン,オス,2014/11/22,フランク,ココロ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/koron.png
10,6,こまち,メス,2017/4/27,マックス,ホリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/komati.png
11,5,あずま,メス,2021/5/18,コロン,こまち,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/azuma.png
