行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,2,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
1,4,アーチャー(東山),オス,-2015/4/3,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/.png
1,5,クイン,メス,2015/3/23-2023/5/31,ボウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
1,7,コロン,オス,2014/11/22,フランク,ココロ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/koron.png
2,1,ぼたん,メス,2017/5/12-2024/12/13,アーティー,ウメ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/botan.png
2,3,チャーリー,オス,2014/11/27,アーチャー(東山),ティリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/charlie.png
2,6,コハル,メス,2019/4/2,コロン,クイン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/koharu.png
3,1,ひなぎく,メス,2021/12/15-2025/7/2,チャーリー,ぼたん,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/hinagiku.png
3,2,たんぽぽ,メス,2020/4/26,チャーリー,ぼたん,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/tanpopo.png
4,4,ハリー,オス,2022/4/22,チャーリー,コハル,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/harry.png
4,7,ポポロ,オス,2025/4/22,コロン,たんぽぽ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/poporo.png
