行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,2,ブンダ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/bunda.png
1,4,ユメ,メス,2015/1/2-2025/3/23,フランク,ブランディ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/yume.png
1,5,ウメ,メス,2010/8/5-2022/11/21,パイン,モミジ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ume.png
1,7,ウルル,オス,2007/5/26-2017/12/18,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
1,9,ピース♂,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
1,11,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
3,6,ウミ,メス,2014/6/13,ウルル,ウメ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/umi.png
3,1,ホリー,メス,2013/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/holly.png
3,3,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
4,10,ピーター,オス,2016/3/28,ピース♂,ティリー,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/peter.png
5,2,いぶき,オス,2020/8/27,イシン,ホリー,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ibuki.png
5,7,オウカ,メス,2016/9/25,ウルル,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouka.png
6,5,マイ,メス,2019/5/15-2022/6/21,ピーター,ウメ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
6,5,ナギ,メス,2023/7/31,ピーター,ウミ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nagi.png
6,6,エマ,メス,2018/12/6,ピーター,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ema.png
6,9,クイン,メス,2015/3/23-2023/5/31,ボウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
6,10,ハナ,メス,2019/5/20,ピーター,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/hana.png
7,4,オウキ,オス,2024/6/12,いぶき,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouki.png
8,6,シャイン,オス,2017/8/31-2022/1/6,コロン,クイン,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/shine.png
8,10,コロン,オス,2014/11/22,フランク,ココロ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/koron.png
9,5,シャイニー,メス,2021/5/13,シャイン,マイ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/shiny.png
9,9,コハル,メス,2019/4/2,コロン,クイン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/koharu.png
8,1,バンブラ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/banbura.png
8,3,イト,メス,,,,,https://dj-kata.github.io/koala_familytree/imgs/ito.png
9,2,ライト,オス,2021/5/14,バンブラ,イト,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/raito.png
9,3,イツキ,オス,2020/4/3,バンブラ,イト,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/itsuki.png
