行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,2,アーチャー(東山),オス,-2016/4/3,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/.png
1,10,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
1,15,ピース♂,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
2,4,マックス,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/max.png
5,1,ぼたん,メス,2017/5/12-2024/12/13,アーティー,ウメ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/botan.png
5,3,チャーリー,オス,2014/11/27,アーチャー(東山),ティリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/charlie.png
6,5,りん,メス,2017/8/23,マックス,ティリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/rin.png
6,9,タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taichi.png
7,4,ハリー,オス,2022/4/22,チャーリー,コハル,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/harry.png
7,6,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
7,14,ピーター,オス,2016/3/28,ピース♂,ティリー,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/peter.png
7,16,ウミ,メス,2014/6/13,ウルル,ウメ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/umi.png
8,3,コハル,メス,2019/4/2,コロン,クイン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/koharu.png
9,1,ひなぎく,メス,2021/12/15-2025/7/2,チャーリー,ぼたん,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/hinagiku.png
9,2,たんぽぽ,メス,2020/4/26,チャーリー,ぼたん,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/tanpopo.png
9,4,コロン,オス,2014/11/22,フランク,ココロ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/koron.png
9,8,アーチャー,オス,2019/4/26,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/archer.png
9,9,インディコ,メス,2019/12/22,イシン,ティリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/indeko.png
9,11,ウメ,メス,2010/8/5-2022/11/21,パイン,モミジ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ume.png
9,13,オウカ,メス,2016/9/25,ウルル,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouka.png
9,15,エマ,メス,2018/12/6,ピーター,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ema.png
9,16,ナギ,メス,2023/7/31,ピーター,ウミ,淡路ファームパークイングランドの丘,https://dj-kata.github.io/koala_familytree/imgs/nagi.png
10,3,ポポロ,オス,2025/4/22,コロン,たんぽぽ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/poporo.png
10,6,きらら,メス,2018/9/6,タイチ,ティリー,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/kirara.png
10,12,マイ,メス,2019/5/15-2022/6/21,ピーター,ウメ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/.png
10,14,ハナ,メス,2019/5/20,ピーター,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/hana.png
11,4,きんとき,オス,2022/6/25,コロン,きらら,多摩動物公園,https://dj-kata.github.io/koala_familytree/imgs/kintoki.png
11,8,スター,オス,2023/11/18,アーチャー,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/star.png
11,10,ししお,オス,2022/4/4,タイチ,ホリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sisio.png
11,11,タイヨウ,オス,2022/8/11,タイチ,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taiyou.png
11,13,シャイン,オス,2017/8/31-2022/1/6,コロン,クイン,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/shine.png
12,3,ライト,オス,2021/5/14,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/raito.png
12,5,つくし,メス,2020/9/3,イシン,りん,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/tukusi.png
12,6,もなか,オス,2023/10/20,イシン,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/monaka.png
12,7,だいふく,オス,2022/3/14,タイチ,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/daifuku.png
12,9,インディコ仔,メス,2025/5/15,ししお,インディコ,平川動物公園,
12,12,シャイニー,メス,2021/5/13,シャイン,マイ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/shiny.png
13,4,スミレ,メス,2024/9/11,ライト,つくし,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sumire.png
