行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,7,タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taichi.png
1,10,ホリー,メス,2013/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/holly.png
2,13,ブンダ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/bunda.png
2,16,ユメ,メス,2015/1/2-2025/3/23,フランク,ブランディ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/yume.png
2,22,ツムギ,メス,2023/5/13,アーチャー,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/tumugi.png
3,19,バンブラ,,,,,,https://dj-kata.github.io/koala_familytree/imgs/banbura.png
4,2,コハル,メス,2019/4/2,コロン,クイン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/koharu.png
4,4,ソラ,オス,2020/6/14,バンブラ,ユメ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/sora.png
4,15,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
4,16,ユイ,メス,,ブンダ,ユメ,,https://dj-kata.github.io/koala_familytree/imgs/yui.png
5,1,ミラ,メス,2021/4/30,コタロウ,ジンベラン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/mira.png
5,16,ヒマワリ,メス,2019/6/22,バンブラ,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/himawari.png
5,20,アーチャー,オス,2019/4/26,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/archer.png
5,22,ヒナタ,メス,2021/3/27,ブンダ,ヒマワリ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/hinata.png
6,3,コハル仔,,2025/5/1,ソラ,コハル,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
6,17,カスミ,メス,2024/6/1,アーチャー,ヒマワリ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kasumi.png
6,18,アサヒ,オス,2022/12/9,アーチャー,ヒマワリ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/asahi.png
7,5,ふく,メス,2019/6/12,コタロウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/fuku.png
7,14,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
7,19,カナエ,メス,2021/6/13,バンブラ,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kanae.png
8,1,ミラ仔1,オス,2024/6/23-2025/1/14,ソラ,ミラ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/mirako1.png
8,2,ミラ仔2,,2025/6/2,ソラ,ミラ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/mirako2.png
8,7,ななみ,メス,2018/7/7-2025/12/11,タイチ,ホリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/nanami.png
8,18,りん,メス,2017/8/23,マックス,ティリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/rin.png
8,21,アラタ,オス,2023/6/14,アーチャー,ヒナタ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/arata.png
9,4,さち,メス,2024/5/9,ソラ,ふく,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/sachi.png
9,9,ししお,オス,2022/4/4,タイチ,ホリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sisio.png
9,13,インディコ,メス,2019/12/22,イシン,ティリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/indeko.png
9,20,エイト,オス,2024/11/24,アーチャー,カナエ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/eight.png
10,8,おもち,メス,2022/3/21,イシン,ななみ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/omochi.png
10,15,ライト,オス,2021/5/14,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/raito.png
10,17,つくし,メス,2020/9/3,イシン,りん,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/tukusi.png
10,18,もなか,オス,2023/10/20,イシン,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/monaka.png
11,8,オウカ,メス,2016/9/25,ウルル,ウミ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouka.png
11,10,いぶき,オス,2020/8/27,イシン,ホリー,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ibuki.png
11,11,タイヨウ,オス,2022/8/11,タイチ,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taiyou.png
11,14,スター,オス,2023/11/18,アーチャー,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/star.png
12,9,オウキ,オス,2024/6/12,いぶき,オウカ,王子動物園,https://dj-kata.github.io/koala_familytree/imgs/ouki.png
12,12,インディコ仔,メス,2025/5/15,ししお,インディコ,平川動物公園,
12,16,スミレ,メス,2024/9/11,ライト,つくし,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sumire.png
