行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,2,バンブラ,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/banbura.png
1,3,ユメ,メス,2015/1/2-2025/3/23,フランク,ブランディ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/yume.png
2,4,カナエ,メス,2021/6/13,バンブラ,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/kanae.png
2,5,ヒマワリ,メス,2019/6/22,バンブラ,ユメ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/himawari.png
3,5,ドリー,メス,,,,,https://dj-kata.github.io/koala_familytree/imgs/.png
3,6,コタロウ,オス,,,,,https://dj-kata.github.io/koala_familytree/imgs/kotarou.png
3,7,ジンベラン,メス,2013/2/23-2023/7/8,,,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
3,1,コロン,オス,2014/11/22,フランク,ココロ,金沢動物園,https://dj-kata.github.io/koala_familytree/imgs/koron.png
3,2,クイン,メス,2015/3/23-2023/5/31,ボウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
4,2,コハル,メス,2019/4/2,コロン,クイン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/koharu.png
4,3,ソラ,オス,2020/6/14,バンブラ,ユメ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/sora.png
4,4,ふく,メス,2019/6/12,コタロウ,ドリー,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/fuku.png
5,5,ミラ,メス,2021/4/30,コタロウ,ジンベラン,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/mira.png
7,2,コハル仔,,2025/5/1,ソラ,コハル,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/.png
7,4,ミラ仔,オス,2024/6/23-2025/1/14,ソラ,ミラ,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/.png
8,3,さち,メス,2024/5/9,ソラ,ふく,埼玉県こども動物自然公園,https://dj-kata.github.io/koala_familytree/imgs/sachi.png
